accession,region,country,site,population,date,study,sample_ID,exclude,source,doi
SRR1568115,sasia,India(NYC),NA,NA,NA,NA,NA,NA,NA,NA
SRR1562851,samerica,Peru,PuertoAmerica,NA,NA,NA,NA,NA,Hupalo_2016,10.1038/ng.3588
SRR1562871,samerica,Peru,Delta2,NA,NA,NA,NA,NA,Hupalo_2016,10.1038/ng.3588
SRR1562931,samerica,Peru,Padrecocha,NA,NA,NA,NA,NA,Hupalo_2016,10.1038/ng.3588
SRR1562958,samerica,Peru,Delta3,NA,NA,NA,NA,NA,Hupalo_2016,10.1038/ng.3588
SRR1564655,samerica,Peru,Sulla,NA,NA,NA,NA,NA,Hupalo_2016,10.1038/ng.3588
SRR1564661,samerica,Peru,Iquitos,NA,NA,NA,NA,NA,Hupalo_2016,10.1038/ng.3588
SRR1568162,samerica,Peru,PampaHermosa,NA,NA,NA,NA,NA,Hupalo_2016,10.1038/ng.3588
SRR1568178,samerica,Peru,Sulla,NA,NA,NA,NA,NA,Hupalo_2016,10.1038/ng.3588
SRR1568232,samerica,Peru,Padrecocha,NA,NA,NA,NA,NA,Hupalo_2016,10.1038/ng.3588
SRR5136536,samerica,Peru,NA,NA,NA,NA,NA,NA,NA,NA
SRR5136549,samerica,Peru,NA,NA,NA,NA,NA,NA,NA,NA
SRR5136531,samerica,Peru,NA,NA,NA,NA,NA,NA,NA,NA
SRR5136532,samerica,Peru,NA,NA,NA,NA,NA,NA,NA,NA
SRR5136533,samerica,Peru,NA,NA,NA,NA,NA,NA,NA,NA
SRR5136535,samerica,Peru,NA,NA,NA,NA,NA,NA,NA,NA
SRR5136537,samerica,Peru,NA,NA,NA,NA,NA,NA,NA,NA
SRR5136538,samerica,Peru,NA,NA,NA,NA,NA,NA,NA,NA
SRR5136539,samerica,Peru,NA,NA,NA,NA,NA,NA,NA,NA
SRR5136540,samerica,Peru,NA,NA,NA,NA,NA,NA,NA,NA
SRR5136541,samerica,Peru,NA,NA,NA,NA,NA,NA,NA,NA
SRR5136542,samerica,Peru,NA,NA,NA,NA,NA,NA,NA,NA
SRR5136543,samerica,Peru,NA,NA,NA,NA,NA,NA,NA,NA
SRR5136545,samerica,Peru,NA,NA,NA,NA,NA,NA,NA,NA
SRR5136547,samerica,Peru,NA,NA,NA,NA,NA,NA,NA,NA
SRR5136548,samerica,Peru,NA,NA,NA,NA,NA,NA,NA,NA
SRR5136550,samerica,Peru,NA,NA,NA,NA,NA,NA,NA,NA
SRR5136551,samerica,Peru,NA,NA,NA,NA,NA,NA,NA,NA
SRR1620825,samerica,Peru,NA,NA,NA,NA,NA,NA,NA,NA
SRR1620827,samerica,Peru,NA,NA,NA,NA,NA,NA,NA,NA
SRR1620831,samerica,Peru,NA,NA,NA,NA,NA,NA,NA,NA
SRR1620840,samerica,Peru,NA,NA,NA,NA,NA,NA,NA,NA
SRR1620842,samerica,Peru,NA,NA,NA,NA,NA,NA,NA,NA
SRR1620845,samerica,Peru,NA,NA,NA,NA,NA,NA,NA,NA
SRR1620848,samerica,Peru,NA,NA,NA,NA,NA,NA,NA,NA
SRR1620899,samerica,Peru,NA,NA,NA,NA,NA,NA,NA,NA
SRR1620902,samerica,Peru,NA,NA,NA,NA,NA,NA,NA,NA
SRR1620905,samerica,Peru,NA,NA,NA,NA,NA,NA,NA,NA
SRR1627520,samerica,Peru,NA,NA,NA,NA,NA,NA,NA,NA
SRR1627554,samerica,Peru,NA,NA,NA,NA,NA,NA,NA,NA
SRR1627603,samerica,Peru,NA,NA,NA,NA,NA,NA,NA,NA
SRR1627656,samerica,Peru,NA,NA,NA,NA,NA,NA,NA,NA
SRR1627693,samerica,Peru,NA,NA,NA,NA,NA,NA,NA,NA
SRR1627727,samerica,Peru,NA,NA,NA,NA,NA,NA,NA,NA
SRR1627764,samerica,Peru,NA,NA,NA,NA,NA,NA,NA,NA
SRR1627798,samerica,Peru,NA,NA,NA,NA,NA,NA,NA,NA
SRR1627862,samerica,Peru,NA,NA,NA,NA,NA,NA,NA,NA
SRR1627932,samerica,Peru,NA,NA,NA,NA,NA,NA,NA,NA
SRR1798621,samerica,Peru,NA,NA,NA,NA,NA,NA,NA,NA
SRR1798613,samerica,Peru,MadredeDios,NA,NA,NA,NA,tree,NA,NA
SRR1798616,samerica,Peru,NA,NA,NA,NA,NA,NA,NA,NA
SRR1798618,samerica,Peru,NA,NA,NA,NA,NA,NA,NA,NA
SRR1798625,samerica,Peru,NA,NA,NA,NA,NA,NA,NA,NA
SRR1798622,samerica,Peru,NA,NA,NA,NA,NA,NA,NA,NA
SRR1798624,samerica,Peru,NA,NA,NA,NA,NA,NA,NA,NA
SRR1798620,samerica,Peru,NA,NA,NA,NA,NA,NA,NA,NA
SRR1798626,samerica,Peru,NA,NA,NA,NA,NA,NA,NA,NA
SRR1798628,samerica,Peru,NA,NA,NA,NA,NA,NA,NA,NA
SRR1627452,samerica,Peru,NA,NA,NA,NA,NA,tree,NA,NA
ERR054089,NA,Malaysia,Sabah,West coast Division,5/9/11,1157,PY0002-C,NA,10.1038/s41467-018-04965-4,NA
ERR152414,NA,Malaysia,Sabah,West coast Division,5/9/11,1157,PY0004-C,NA,10.1038/s41467-018-04965-4,NA
ERR152415,NA,Malaysia,Sabah,West coast Division,6/7/11,1157,PY0005-C,NA,10.1038/s41467-018-04965-4,NA
ERR527337,NA,Malaysia,Sabah,Kudat Division,1/14/13,1157,PY0018-C,NA,10.1038/s41467-018-04965-4,NA
ERR527363,NA,Malaysia,Sabah,Kudat Division,1/24/13,1157,PY0019-C,NA,10.1038/s41467-018-04965-4,NA
ERR1138855,NA,Malaysia,Sabah,Kudat Division,5/25/14,1157,PY0023-C,NA,10.1038/s41467-018-04965-4,NA
ERR1138856,NA,Malaysia,Sabah,Kudat Division,10/21/14,1157,PY0024-C,NA,10.1038/s41467-018-04965-4,NA
ERR1138857,NA,Malaysia,Sabah,Kudat Division,10/30/14,1157,PY0026-C,NA,10.1038/s41467-018-04965-4,NA
ERR1138858,NA,Malaysia,Sabah,Kudat Division,11/12/14,1157,PY0027-C,NA,10.1038/s41467-018-04965-4,NA
ERR1138861,NA,Malaysia,Sabah,Kudat Division,12/10/14,1157,PY0034-C,NA,10.1038/s41467-018-04965-4,NA
ERR1138862,NA,Malaysia,Sabah,Kudat Division,12/18/14,1157,PY0035-C,NA,10.1038/s41467-018-04965-4,NA
ERR1138864,NA,Malaysia,Sabah,Kudat Division,12/3/14,1157,PY0042-C,NA,10.1038/s41467-018-04965-4,NA
ERR1138865,NA,Malaysia,Sabah,Kudat Division,2/25/14,1157,PY0044-C,NA,10.1038/s41467-018-04965-4,NA
ERR1138866,NA,Malaysia,Sabah,Kudat Division,4/22/14,1157,PY0045-C,NA,10.1038/s41467-018-04965-4,NA
ERR1138867,NA,Malaysia,Sabah,Kudat Division,8/4/14,1157,PY0048-C,NA,10.1038/s41467-018-04965-4,NA
ERR1138868,NA,Malaysia,Sabah,Kudat Division,9/4/14,1157,PY0050-C,NA,10.1038/s41467-018-04965-4,NA
ERR1106842,NA,Malaysia,Sabah,Kudat Division,9/4/14,1157,PY0051-C,NA,10.1038/s41467-018-04965-4,NA
ERR1138869,NA,Malaysia,Sabah,Kudat Division,9/17/14,1157,PY0053-C,NA,10.1038/s41467-018-04965-4,NA
ERR1138870,NA,Malaysia,Sabah,Kudat Division,9/22/14,1157,PY0054-C,NA,10.1038/s41467-018-04965-4,NA
ERR1138871,NA,Malaysia,Sabah,Kudat Division,9/22/14,1157,PY0055-C,NA,10.1038/s41467-018-04965-4,NA
ERR1138872,NA,Malaysia,Sabah,Kudat Division,9/24/14,1157,PY0056-C,NA,10.1038/s41467-018-04965-4,NA
ERR1138873,NA,Malaysia,Sabah,Kudat Division,9/30/14,1157,PY0057-C,NA,10.1038/s41467-018-04965-4,NA
ERR1106843,NA,Malaysia,Sabah,Kudat Division,10/5/14,1157,PY0058-C,NA,10.1038/s41467-018-04965-4,NA
